rank_position,id,name,distance_km,distance_from_user_km,winding_score,route_rank_score,tight_curve_km,medium_curve_km,max_continuous_km,is_loop,region,is_numeric_name,is_facility_like,is_bridge_like,is_ramp_like,is_major_road_like,length_band,suggested_action,suggested_reason
1,4d274e68b880c54a839acbb04ebfa917e819624f63cc50d0289aa783005b2fc7,Rang de la Rivière Nord (339),19.96,43.65,419.01,1257.02,2.30,12.16,3.13,false,quebec,false,false,false,false,true,long,keep,keep_candidate
2,25c163ed72d1d8dcb92d70acd1020a40810b68bd19b13f9038254d16c72ca2a3,Chemin De Val-des-Lacs,12.94,48.14,452.02,975.17,2.78,6.79,1.58,false,quebec,false,false,false,false,true,long,keep,keep_candidate
3,b29b407590a7ccf50329786fe167926c09c2efee8f224f4394bd7ab63b116fda,Chemin de la Petite-Côte,11.98,18.42,458.99,916.25,2.06,8.30,2.02,false,quebec,false,false,false,false,true,long,keep,keep_candidate
4,0377f31fc0b3bdb4734855b64abc58ddd1a8bc565de18092ede4fd1aec295c46,Rue Main,12.63,40.49,314.65,662.38,1.40,7.49,0.73,false,quebec,false,false,false,false,false,long,keep,keep_candidate
5,4e38996391eecd7627282b502cfe80b4ad3def62bd7753581536d72662b10199,Chemin du Fleuve,18.06,41.75,195.69,587.06,0.84,6.63,0.75,false,quebec,false,false,false,false,true,long,keep,keep_candidate
6,f3faedd6b4e85ed514927f51efbad3282387c38912a3e2c37d42a782871885f3,Chemin du Lac-Saint-Louis,7.31,17.79,444.71,541.86,1.64,4.42,2.18,false,quebec,false,false,false,false,true,medium,keep,keep_candidate
7,6fcfcbeeaf05429055c8050356a71889fc3f49d05fccc0e33657636dc0c8d2e3,Chemin Saint-Charles (344),9.18,26.00,348.73,533.49,1.16,4.32,0.89,false,quebec,false,false,false,false,true,medium,keep,keep_candidate
8,63306d7b176877b705e91bd2fbe81ebe0d1965c627cfe54f3fbafb5d8c8348f8,Chemin de la Grande-Côte (344),13.27,22.96,238.23,526.98,1.15,6.65,0.64,false,quebec,false,false,false,false,true,long,keep,keep_candidate
9,64606985be3e732e9bdc9fa3f8a2f643bd67b968a424af4ef0d4eec81f32e47f,Rang de la Rivière Sud (227),16.80,38.21,184.39,516.29,0.41,8.13,0.65,false,quebec,false,false,false,false,true,long,keep,keep_candidate
10,73b2e877945bd108cca593b17464a55526fea92f909eb37ae8ce90b704260f36,Route Édouard-VII (217),12.94,17.49,238.43,514.15,1.37,5.03,0.51,false,quebec,false,false,false,false,false,long,keep,keep_candidate
